sample_idx,sample_type,tied_best_scores,first_margin
95,1,15,0.07465781271457672
96,2,1,0.056075531989336014
97,2,1,0.11141049116849899
98,2,1,0.004661657847464085
99,1,3,0.12422389537096024
100,1,37,0.08024577796459198
101,2,1,0.022747566923499107
102,1,27,0.009373956359922886
103,1,5,0.266696035861969
104,1,17,0.020457344129681587
105,1,1,0.013037418015301228
106,1,26,0.013424460776150227
107,1,3,0.023973949253559113
108,2,1,0.023584546521306038
109,2,2,0.009343314915895462
110,1,1,0.40796947479248047
111,1,1,0.31906622648239136
112,1,1,0.08256535977125168
113,1,1,0.023802509531378746
114,3,1,0.14515511691570282
115,1,1,0.31339362263679504
116,2,1,0.10756779462099075
117,1,14,0.03817000985145569
118,2,1,0.030569368973374367
119,1,1,0.22367657721042633
120,1,64,0.13748571276664734
121,1,13,0.009556691162288189
122,1,32,0.062119994312524796
123,1,27,0.012667406350374222
124,1,14,0.0001003681099973619
125,2,1,0.07650318741798401
126,1,1,0.15988494455814362
127,1,49,0.0005174421239644289
128,2,1,0.031129566952586174
129,2,1,0.15385600924491882
130,2,1,0.03232942894101143
131,2,1,0.14215880632400513
132,1,43,0.042378026992082596
133,1,1,0.10623665153980255
134,1,15,0.07003196328878403
135,1,38,0.00018907127378042787
136,1,27,0.03238685056567192
137,1,30,0.04817710071802139
138,1,4,0.004762693773955107
139,1,3,0.11229293048381805
140,1,43,0.030069803819060326
141,1,1,0.046448420733213425
142,1,14,0.08762896060943604
143,2,1,0.05470249056816101
144,1,5,0.14867658913135529
145,1,15,0.012102173641324043
146,1,1,0.16979917883872986
147,2,1,0.030559798702597618
148,1,5,0.04555085673928261
149,1,39,0.1077018454670906
150,2,1,0.05350225046277046
151,1,2,0.02321678213775158
152,1,22,0.021505232900381088
153,1,1,0.466193288564682
154,1,6,0.034844402223825455
155,1,68,0.12446954101324081
156,1,1,0.07817500084638596
157,1,1,0.4286487400531769
158,2,4,7.851205737097189e-05
159,2,1,0.11320031434297562
160,1,43,0.0006995145813561976
161,2,4,0.0019184593111276627
162,1,1,0.26630935072898865
163,1,25,0.00014503407874144614
164,1,1,0.14704623818397522
165,2,1,0.5271621942520142
166,2,1,0.10528118163347244
167,2,15,0.03627423569560051
168,1,20,0.1113954558968544
169,2,1,0.09337549656629562
170,2,1,0.34450480341911316
171,1,1,0.04236023500561714
172,3,1,0.11364518851041794
173,1,1,0.4505166709423065
174,2,1,0.046839598566293716
175,1,9,0.055718936026096344
176,1,23,0.011776656843721867
177,1,1,0.18838942050933838
178,2,1,0.005307284649461508
179,1,1,0.08443138003349304
180,2,1,0.0020573611836880445
181,1,7,0.028959304094314575
182,1,13,0.04036747291684151
183,2,1,0.016673127189278603
184,1,17,0.06233341246843338
185,1,53,0.0021453294903039932
186,1,1,0.3326113522052765
187,2,10,0.053534094244241714
188,1,12,0.015693427994847298
189,1,11,0.0767035037279129
190,1,42,0.02323906496167183
191,1,57,0.07485733926296234
192,1,6,0.013535342179238796
193,1,26,0.010350487194955349
194,1,24,0.11046089231967926
195,1,59,0.0011732737766578794
196,1,4,8.785978570813313e-05
197,1,30,0.00027852767379954457
198,1,65,0.1590767502784729
199,1,3,0.07128921896219254
200,2,1,0.2085377722978592
201,1,31,0.03988469019532204
202,2,1,0.1562625765800476
203,1,26,0.022321360185742378
204,3,1,0.02249029465019703
205,1,1,0.13281068205833435
206,1,50,0.00045262661296874285
207,2,1,0.348969042301178
208,1,29,0.04036133736371994
209,1,1,0.0009541223989799619
210,1,1,0.047203171998262405
211,1,18,6.119542376836762e-05
212,2,1,0.1344202756881714
213,2,1,0.11401685327291489
214,1,30,0.0466003455221653
215,2,1,0.06329253315925598
216,1,1,0.5147814154624939
217,1,48,0.13546809554100037
218,1,29,0.0025378214195370674
219,1,37,0.08852560818195343
220,1,32,0.013319912366569042
221,1,13,0.012160743586719036
222,2,1,0.13987064361572266
223,1,1,0.11778774857521057
224,2,1,0.0009514987468719482
225,1,3,0.007081766612827778
226,3,1,0.04352693259716034
227,1,7,0.06320423632860184
228,1,1,0.24549169838428497
229,1,1,0.16908399760723114
230,2,10,0.00010882555943680927
231,2,1,0.05213918164372444
232,2,1,0.2137852907180786
233,1,55,0.04845136031508446
234,1,11,0.04233653470873833
235,2,1,0.047356512397527695
236,2,1,0.08040177822113037
237,2,1,0.047276001423597336
238,1,2,0.06496838480234146
239,2,3,0.09537168592214584
240,1,54,0.0007108254358172417
241,2,1,0.09678715467453003
242,1,17,9.130286343861371e-05
243,1,1,0.008637050166726112
244,1,16,0.9900000095367432
245,2,1,6.714770279359072e-05
246,2,1,0.09338477998971939
247,1,50,0.018077265471220016
248,2,1,0.1441826969385147
249,2,1,0.003464888548478484
250,1,48,0.25914639234542847
251,1,5,0.07765305042266846
252,2,1,0.038424745202064514
253,2,1,0.12781502306461334
254,2,1,0.1596461832523346
255,2,6,0.19857744872570038
256,1,63,0.03819931671023369
257,1,18,0.01088010985404253
258,1,31,0.00023165518359746784
259,1,32,0.0006335277575999498
260,2,1,0.21779587864875793
261,2,5,0.06321409344673157
262,1,20,0.017126185819506645
263,1,72,0.17899803817272186
264,3,1,0.18555670976638794
265,1,35,0.007297005038708448
266,1,14,0.008428209461271763
267,2,1,0.20132988691329956
