sample_type_selector,sample_type_holo,tied_best_scores,first_margin
1,1,27,0.009373956359922886
1,1,5,0.266696035861969
1,1,17,0.020457344129681587
1,1,1,0.013037418015301228
1,1,26,0.013424460776150227
1,1,3,0.023973949253559113
1,2,1,0.023584546521306038
1,2,2,0.009343314915895462
1,1,1,0.40796947479248047
1,1,1,0.31906622648239136
1,1,1,0.08256535977125168
1,1,1,0.023802509531378746
3,2,1,0.14515511691570282
1,1,1,0.31339362263679504
2,1,1,0.10756779462099075
1,1,14,0.03817000985145569
3,2,1,0.030569368973374367
1,1,1,0.22367657721042633
1,1,64,0.13748571276664734
1,1,13,0.009556691162288189
1,1,32,0.062119994312524796
1,1,27,0.012667406350374222
1,1,14,0.0001003681099973619
2,1,1,0.07650318741798401
1,1,1,0.15988494455814362
1,1,49,0.0005174421239644289
2,2,1,0.031129566952586174
2,2,1,0.15385600924491882
2,2,1,0.03232942894101143
2,1,1,0.14215880632400513
1,1,43,0.042378026992082596
1,1,1,0.10623665153980255
1,1,15,0.07003196328878403
1,1,38,0.00018907127378042787
1,1,27,0.03238685056567192
1,1,30,0.04817710071802139
1,1,4,0.004762693773955107
1,1,3,0.11229293048381805
1,1,43,0.030069803819060326
1,2,1,0.046448420733213425
1,1,14,0.08762896060943604
2,2,1,0.05470249056816101
1,1,5,0.14867658913135529
1,1,15,0.012102173641324043
1,2,1,0.16979917883872986
2,2,1,0.030559798702597618
1,1,5,0.04555085673928261
1,1,39,0.1077018454670906
1,1,1,0.05350225046277046
1,1,2,0.02321678213775158
1,1,22,0.021505232900381088
1,1,1,0.466193288564682
1,1,6,0.034844402223825455
1,1,68,0.12446954101324081
1,1,1,0.07817500084638596
1,2,1,0.4286487400531769
2,2,4,7.851205737097189e-05
2,2,1,0.11320031434297562
1,1,43,0.0006995145813561976
1,2,4,0.0019184593111276627
1,1,1,0.26630935072898865
1,1,25,0.00014503407874144614
1,1,1,0.14704623818397522
1,2,1,0.5271621942520142
2,2,1,0.10528118163347244
2,1,15,0.03627423569560051
1,1,20,0.1113954558968544
2,3,1,0.09337549656629562
1,2,1,0.34450480341911316
1,1,1,0.04236023500561714
3,3,1,0.11364518851041794
1,1,1,0.4505166709423065
2,1,1,0.046839598566293716
1,1,9,0.055718936026096344
1,1,23,0.011776656843721867
2,2,1,0.18838942050933838
2,2,1,0.005307284649461508
2,1,1,0.08443138003349304
